"price","airline","Origin","Destination","DepartureDate","ReturnDate","ScrapeDate","nbr_trials","Journey","TravelDates","DaysBeforeDeparture"
6576,NA,"BER","BKK",2019-02-02,2019-02-09,2019-01-26,1,"BER-BKK","2019-02-02-2019-02-09",7
6843,NA,"BER","BKK",2019-02-03,2019-02-08,2019-01-20,1,"BER-BKK","2019-02-03-2019-02-08",14
6672,NA,"BER","BKK",2019-02-03,2019-02-08,2019-01-21,1,"BER-BKK","2019-02-03-2019-02-08",13
6661,NA,"BER","BKK",2019-02-03,2019-02-08,2019-01-24,1,"BER-BKK","2019-02-03-2019-02-08",10
6711,NA,"BER","BKK",2019-02-03,2019-02-08,2019-01-25,1,"BER-BKK","2019-02-03-2019-02-08",9
6710,NA,"BER","BKK",2019-02-03,2019-02-08,2019-01-26,1,"BER-BKK","2019-02-03-2019-02-08",8
6710,NA,"BER","BKK",2019-02-03,2019-02-08,2019-01-27,1,"BER-BKK","2019-02-03-2019-02-08",7
7088,NA,"BER","BKK",2019-02-03,2019-02-09,2019-01-20,1,"BER-BKK","2019-02-03-2019-02-09",14
6831,NA,"BER","BKK",2019-02-03,2019-02-09,2019-01-21,1,"BER-BKK","2019-02-03-2019-02-09",13
7107,NA,"BER","BKK",2019-02-03,2019-02-09,2019-01-24,1,"BER-BKK","2019-02-03-2019-02-09",10
7108,NA,"BER","BKK",2019-02-03,2019-02-09,2019-01-25,1,"BER-BKK","2019-02-03-2019-02-09",9
6576,NA,"BER","BKK",2019-02-03,2019-02-09,2019-01-26,1,"BER-BKK","2019-02-03-2019-02-09",8
6576,NA,"BER","BKK",2019-02-03,2019-02-09,2019-01-27,1,"BER-BKK","2019-02-03-2019-02-09",7
6895,NA,"BER","BKK",2019-02-03,2019-02-10,2019-01-20,1,"BER-BKK","2019-02-03-2019-02-10",14
6888,NA,"BER","BKK",2019-02-03,2019-02-10,2019-01-21,1,"BER-BKK","2019-02-03-2019-02-10",13
6955,NA,"BER","BKK",2019-02-03,2019-02-10,2019-01-24,1,"BER-BKK","2019-02-03-2019-02-10",10
7065,NA,"BER","BKK",2019-02-03,2019-02-10,2019-01-25,1,"BER-BKK","2019-02-03-2019-02-10",9
7121,NA,"BER","BKK",2019-02-03,2019-02-10,2019-01-26,1,"BER-BKK","2019-02-03-2019-02-10",8
6609,NA,"BER","BKK",2019-02-03,2019-02-10,2019-01-27,1,"BER-BKK","2019-02-03-2019-02-10",7
6399,NA,"BER","BKK",2019-02-04,2019-02-09,2019-01-20,1,"BER-BKK","2019-02-04-2019-02-09",15
6399,NA,"BER","BKK",2019-02-04,2019-02-09,2019-01-21,1,"BER-BKK","2019-02-04-2019-02-09",14
6389,NA,"BER","BKK",2019-02-04,2019-02-09,2019-01-24,1,"BER-BKK","2019-02-04-2019-02-09",11
7108,NA,"BER","BKK",2019-02-04,2019-02-09,2019-01-25,1,"BER-BKK","2019-02-04-2019-02-09",10
6985,NA,"BER","BKK",2019-02-04,2019-02-09,2019-01-26,1,"BER-BKK","2019-02-04-2019-02-09",9
5977,NA,"BER","BKK",2019-02-04,2019-02-09,2019-01-27,1,"BER-BKK","2019-02-04-2019-02-09",8
6399,NA,"BER","BKK",2019-02-04,2019-02-10,2019-01-20,1,"BER-BKK","2019-02-04-2019-02-10",15
6399,NA,"BER","BKK",2019-02-04,2019-02-10,2019-01-21,1,"BER-BKK","2019-02-04-2019-02-10",14
6389,NA,"BER","BKK",2019-02-04,2019-02-10,2019-01-24,1,"BER-BKK","2019-02-04-2019-02-10",11
6108,NA,"BER","BKK",2019-02-04,2019-02-10,2019-01-25,1,"BER-BKK","2019-02-04-2019-02-10",10
6866,NA,"BER","BKK",2019-02-04,2019-02-10,2019-01-26,1,"BER-BKK","2019-02-04-2019-02-10",9
5649,NA,"BER","BKK",2019-02-04,2019-02-10,2019-01-27,1,"BER-BKK","2019-02-04-2019-02-10",8
6073,NA,"BER","BKK",2019-02-04,2019-02-11,2019-01-21,1,"BER-BKK","2019-02-04-2019-02-11",14
6066,NA,"BER","BKK",2019-02-04,2019-02-11,2019-01-24,1,"BER-BKK","2019-02-04-2019-02-11",11
